id,plant_id,garden_bed_id,seed_start_date,transplant_date,direct_seed_date,expected_harvest_date,succession_planting,succession_interval,completed,notes,created_at,season,variety,succession_group_id,position_x,position_y,space_required,conflict_override,actual_harvest_date,user_id
23,apple-1,,,,2025-11-20 00:00:00.000000,2030-11-19 00:00:00.000000,0,,0,"Planted on property at (52', 4')",2025-11-20 22:13:09.517112,spring,Apple,,52,4,20,0,,1
24,basil-1,1,,,2025-12-10 09:12:15.411549,2026-02-08 09:12:15.411549,0,,0,,2025-12-23 16:32:17.220238,spring,,,2,2,1,0,,1
25,basil-1,1,,,2025-12-10 09:12:36.228016,2026-02-08 09:12:36.228016,0,,0,,2025-12-23 16:32:17.220238,spring,Aroma 1,,2,3,1,0,,1
75,lettuce-1,10,,,2026-01-01 00:00:00.000000,2026-02-15 00:00:00.000000,0,,0,,2026-01-01 18:48:14.384388,spring,Bronze Guard,,1,0,,0,,4
76,lettuce-1,10,,,2026-01-01 00:00:00.000000,2026-02-15 00:00:00.000000,0,,0,,2026-01-01 18:48:14.384388,spring,Bronze Guard,,2,0,,0,,4
77,lettuce-1,10,,,2026-01-01 00:00:00.000000,2026-02-15 00:00:00.000000,0,,0,,2026-01-01 18:48:14.384388,spring,Bronze Guard,,3,0,,0,,4
78,lettuce-1,10,,,2026-01-01 00:00:00.000000,2026-02-15 00:00:00.000000,0,,0,,2026-01-01 18:48:14.384388,spring,Bronze Guard,,0,1,,0,,4
79,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,0,0,,0,,4
80,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,1,0,,0,,4
81,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,2,0,,0,,4
82,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,3,0,,0,,4
83,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,0,1,,0,,4
84,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,1,1,,0,,4
85,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,2,1,,0,,4
86,lettuce-1,12,,2026-04-23 00:00:00.000000,,2026-06-07 00:00:00.000000,0,,0,,2026-01-01 19:13:49.382702,spring,Bronze Guard,,3,1,,0,,4
87,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,0,2,,0,,4
88,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,1,2,,0,,4
89,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,2,2,,0,,4
90,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,3,2,,0,,4
91,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,0,3,,0,,4
92,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,1,3,,0,,4
93,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,2,3,,0,,4
94,lettuce-1,12,,,2026-06-08 00:00:00.000000,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 19:16:51.427161,spring,Red Sails,,3,3,,0,,4
95,lettuce-1,12,,2026-06-08 00:00:00.000000,,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 22:24:56.361689,spring,Bronze Guard,,0,0,,0,,4
96,lettuce-1,12,,2026-06-08 00:00:00.000000,,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 22:24:56.361689,spring,Bronze Guard,,1,0,,0,,4
97,lettuce-1,12,,2026-06-08 00:00:00.000000,,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 22:24:56.361689,spring,Bronze Guard,,2,0,,0,,4
98,lettuce-1,12,,2026-06-08 00:00:00.000000,,2026-07-23 00:00:00.000000,0,,0,,2026-01-01 22:24:56.361689,spring,Bronze Guard,,3,0,,0,,4
